,filename,category
0,dog.9594.jpg,1
1,dog.9601.jpg,1
2,dog.9595.jpg,1
3,dog.9596.jpg,1
4,dog.96.jpg,1
5,dog.9599.jpg,1
6,dog.9597.jpg,1
7,dog.9589.jpg,1
8,dog.9588.jpg,1
9,dog.9600.jpg,1
10,dog.9590.jpg,1
11,dog.959.jpg,1
12,dog.9587.jpg,1
13,dog.9582.jpg,1
14,dog.9598.jpg,1
15,dog.9602.jpg,1
16,dog.9592.jpg,1
17,dog.960.jpg,1
18,dog.9586.jpg,1
19,dog.9593.jpg,1
20,dog.9591.jpg,1
21,dog.9585.jpg,1
22,dog.961.jpg,1
23,dog.9622.jpg,1
24,dog.9627.jpg,1
25,dog.9610.jpg,1
26,dog.9616.jpg,1
27,dog.9612.jpg,1
28,dog.9605.jpg,1
29,dog.9620.jpg,1
30,dog.9624.jpg,1
31,dog.9609.jpg,1
32,dog.9619.jpg,1
33,dog.9615.jpg,1
34,dog.9606.jpg,1
35,dog.9614.jpg,1
36,dog.9618.jpg,1
37,dog.9629.jpg,1
38,dog.9608.jpg,1
39,dog.963.jpg,1
40,dog.9628.jpg,1
41,dog.9617.jpg,1
42,dog.9604.jpg,1
43,dog.9621.jpg,1
44,dog.962.jpg,1
45,dog.9611.jpg,1
46,dog.9626.jpg,1
47,dog.9623.jpg,1
48,dog.9625.jpg,1
49,dog.9613.jpg,1
50,dog.9607.jpg,1
51,dog.964.jpg,1
52,dog.9644.jpg,1
53,dog.9648.jpg,1
54,dog.9638.jpg,1
55,dog.9634.jpg,1
56,dog.9632.jpg,1
57,dog.9655.jpg,1
58,dog.9639.jpg,1
59,dog.9654.jpg,1
60,dog.9636.jpg,1
61,dog.9651.jpg,1
62,dog.9653.jpg,1
63,dog.9656.jpg,1
64,dog.9646.jpg,1
65,dog.9637.jpg,1
66,dog.9640.jpg,1
67,dog.9652.jpg,1
68,dog.9643.jpg,1
69,dog.9647.jpg,1
70,dog.9631.jpg,1
71,dog.9650.jpg,1
